Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Location
"South Main Street, House at No. 176",Livingston,01/07/1999,98NR01320,-77.871,42.7196665675,"(42.71966656750, -77.87100000000)"
Erie Canal Lock 52 Complex,Cayuga,09/03/1998,98NR01363,-76.635,43.0371510254,"(43.03715102540, -76.63500000000)"
"Flagg, Ethan, House (Blessed Sacrament Monastery)",Westchester,08/12/1998,98NR01359,-73.8925,40.9405348556,"(40.94053485560, -73.89250000000)"
"Hand, Elias, House",Orange,08/28/1998,98NR01375,-74.0804,41.4005971135,"(41.40059711350, -74.08040000000)"
"Wood, Wilford, House",Orange,08/28/1998,98NR01376,-74.0732,41.4113973138,"(41.41139731380, -74.07320000000)"
"Pigott, Patrick, House (Angola Lodge)",Orange,08/28/1998,98NR01379,-74.0417,41.4279237268,"(41.42792372680, -74.04170000000)"
"Crabtree, John A., House",Orange,08/06/1998,98NR01377,-74.2263,41.5289070172,"(41.52890701720, -74.22630000000)"
"DuBois, Andries, House",Ulster,08/06/1998,98NR01378,-74.1865,41.6103050709,"(41.61030507090, -74.18650000000)"
Trinity Episcopal Church Complex,Ulster,08/06/1998,98NR01371,-73.9482,42.0680100846,"(42.06801008460, -73.94820000000)"
Lock Tender's House and Canal Store Ruin,Ulster,08/06/1998,98NR01372,-74.1309,41.8231960934,"(41.82319609340, -74.13090000000)"
Shorter House,Orange,08/28/1998,98NR01383,-74.3436,41.5705644635,"(41.57056446350, -74.34360000000)"
Unadilla Forks School,Otsego,08/28/1998,98NR01390,-75.2365,42.843146736,"(42.84314673600, -75.23650000000)"
Grace Episcopal Church,Broome,08/28/1998,98NR01392,-75.9682,42.3292496936,"(42.32924969360, -75.96820000000)"
Smithville Valley Grange No. 1397,Chenango,08/06/1998,98NR01391,-75.8087,42.3992558189,"(42.39925581890, -75.80870000000)"
St. Mark's Church,Lewis,08/06/1998,98NR01366,-75.3495,43.5810311954,"(43.58103119540, -75.34950000000)"
Grant Mills Covered Bridge,Ulster,12/17/1998,98NR01394,-74.637,42.0808460659,"(42.08084606590, -74.63700000000)"
Hyde Hall Covered Bridge,Otsego,12/17/1998,98NR01395,-74.8634,42.7903701489,"(42.79037014890, -74.86340000000)"
Pentecostal Holy Temple Church of Jesus Christ,Chemung,11/19/1998,98NR01400,-76.8081,42.1074131917,"(42.10741319170, -76.80810000000)"
Emmanuel Episcopal Church,Chemung,11/19/1998,98NR01398,-76.8028,42.0798804863,"(42.07988048630, -76.80280000000)"
Conklin Mountain House,Cattaraugus,11/19/1998,98NR01399,-78.4265,42.0773755918,"(42.07737559180, -78.42650000000)"
St. Andrew's Episcopal Church,Putnam,11/23/1998,98NR01404,-73.6168,41.3976572908,"(41.39765729080, -73.61680000000)"
"West Street, Building at 21",New York,03/12/1999,98NR01402,-74.0155,40.7063915565,"(40.70639155650, -74.01550000000)"
Methodist Episcopal Church of East DeKalb,St. Lawrence,12/24/1998,96NR00977,-75.3013,44.4830534534,"(44.48305345340, -75.30130000000)"
Weston Schoolhouse,Schuyler,10/08/1998,98NR01326,-77.0769,42.4220415026,"(42.42204150260, -77.07690000000)"
Poughkeepsie Savings Bank,Dutchess,12/04/1998,98NR01407,-73.9286,41.7033455706,"(41.70334557060, -73.92860000000)"
